,SEC_INT,P2$01,P4,DEPTO_MUNI,P7_NO_PERNOC,P7_SI_PERNOC,P9_#EXCURSION,P11_MOTIVO_EXCURSION,P13_GASTO_EXCURSION,P14_#PER_EXCURSION,P16_#EXCUR_CONPERNOC,SUMA_PUNTOS,EDAD,PROFESION,OCUPACION,GENERO,VIA_VIAJE,P18_#NOCHES1,P19_#PERSON1,P20_MOTIVO_1,P21_ALOJ_1,P22_PER_GAS_1,P24_VIAJE_ORG,P26_TRASPORTE,P27_DG_SUMA,P17_DESTINO1
0,1,14,0,102,2,6,0,1,25,4,0,10,37,515,35,0,1,4,3,5,2,4,2,1,150,1131
1,1,14,0,102,2,5,0,1,25,4,0,10,37,515,35,0,0,1,3,5,3,4,2,5,0,139
2,1,14,0,102,2,9,0,1,27,3,0,7,54,227,35,0,1,1,7,5,3,8,2,5,0,157
3,1,14,0,102,2,0,0,1,27,3,0,7,54,227,35,0,0,1,3,5,3,4,2,5,0,139
4,1,3,0,102,2,9,0,1,27,3,0,17,32,243,204,0,1,4,4,5,3,5,2,5,280,690
5,1,3,0,102,2,2,0,1,27,3,0,17,32,243,204,0,0,1,3,5,3,4,2,5,0,139
6,2,9,1,133,2,1,0,1,27,3,1,9,20,235,423,1,1,2,1,5,3,2,1,1,214,56
7,2,9,1,133,2,1,0,1,27,3,1,9,20,235,423,1,1,2,1,5,3,2,1,1,144,430
8,2,9,1,133,2,1,0,1,27,3,1,9,20,235,423,1,0,1,3,5,3,4,2,5,0,139
9,219,0,0,102,2,5,2,3,41,5,3,11,46,316,253,0,1,2,5,5,2,6,2,5,293,986
10,219,0,0,102,2,8,2,3,41,5,3,11,46,316,253,0,1,2,5,12,1,6,2,5,289,935
11,219,0,0,102,2,3,2,3,41,5,3,11,46,316,253,0,0,1,3,5,3,4,2,5,0,139
12,219,2,0,102,2,5,0,1,27,3,0,8,50,93,45,0,1,1,10,5,2,3,2,5,284,656
13,219,2,0,102,2,0,0,1,27,3,0,8,50,93,45,0,0,1,3,5,3,4,2,5,0,139
14,219,14,0,102,2,3,0,1,27,3,0,8,10,79,35,0,1,3,5,12,2,6,2,0,376,164
15,219,14,0,102,2,6,0,1,27,3,0,8,10,79,35,0,0,1,3,5,3,4,2,5,0,139
16,219,5,2,41,10,2,4,1,37,2,0,15,10,471,116,1,1,1,2,5,2,3,0,5,115,538
17,219,5,2,41,10,2,4,1,37,2,0,15,10,471,116,1,0,1,3,5,3,4,2,5,0,139
18,219,1,0,102,2,2,2,1,24,1,0,10,41,398,289,1,1,1,3,5,3,4,3,0,221,994
19,219,1,0,102,2,2,2,1,24,1,0,10,41,398,289,1,0,1,3,5,3,4,2,5,0,139
20,251,2,0,102,2,3,8,1,27,4,4,17,11,504,362,1,1,2,4,5,3,5,3,5,395,798
21,251,2,0,102,2,8,8,1,27,4,4,17,11,504,362,1,1,3,4,5,3,5,3,5,395,291
