,SEC_INT,P1,P2$01,P4,DEPTO_MUNI,P7_NO_PERNOC,P7_SI_PERNOC,P9_#EXCURSION,DEP_MUN_LUG,P11_MOTIVO_EXCURSION,P13_GASTO_EXCURSION,P14_#PER_EXCURSION,P16_#EXCUR_CONPERNOC,SUMA_PUNTOS,EDAD,PROFESION,OCUPACION,GENERO,VIA_VIAJE,P18_#NOCHES1,P19_#PERSON1,P20_MOTIVO_1,P21_ALOJ_1,P22_PER_GAS_1,P24_VIAJE_ORG,P26_TRASPORTE,P27_DG_SUMA,P17_DESTINO1
0,1010084,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CONVENTO LAS CAPUCHINAS IGLESIA DE SAN FELIPE,"Ocio, recreo y/o vacaciones",400.0,5.0,1.0,11,50,SECRETARIA,AMA DE CASA,Femenino,Sí,4.0,4.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,4.0,Por su cuenta,Bus turístico,850.0,TOTONICAPAN_MOMOSTENANGO_LOS RISCOS
1,1010084,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CONVENTO LAS CAPUCHINAS IGLESIA DE SAN FELIPE,"Ocio, recreo y/o vacaciones",400.0,5.0,1.0,11,50,SECRETARIA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
3,1010084,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,67,DOMESTICA,AMA DE CASA,Femenino,Sí,1.0,8.0,"Ocio, recreo y/o vacaciones",Hotel o similares,8.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_IGLESIA DE ESQUIPULAS
4,1010084,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,67,DOMESTICA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
6,1010084,Si,Día de la independencia 15 de septiembre,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,18,45,ENFERMERA,ENFERMERA,Femenino,Sí,4.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Por su cuenta,Vehículo,2000.0,QUETZALTENANGO_QUETZALTENANGO_CENTRO HISTORICO
7,1010084,Si,Día de la independencia 15 de septiembre,No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,18,45,ENFERMERA,ENFERMERA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
9,1010098,Si,Noche buena (año 2017),"Sí, es de familiares o amigos",QUICHE_LAS VIGAS,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,10,33,ELECTRICISTA,TECNICO ELECTRICISTA,Masculino,Sí,2.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Paquete turístico,Bus turístico,1300.0,ALTAVERAPAZ_COBAN_SEMUC CHAMPEY
10,1010098,Si,Noche buena (año 2017),"Sí, es de familiares o amigos",QUICHE_LAS VIGAS,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,10,33,ELECTRICISTA,TECNICO ELECTRICISTA,Masculino,Sí,2.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Paquete turístico,Bus turístico,800.0,HUEHUETENANGO_HUEHUETENANGO_CENOTES DE CANDELARIA
11,1010098,Si,Noche buena (año 2017),"Sí, es de familiares o amigos",QUICHE_LAS VIGAS,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,10,33,ELECTRICISTA,TECNICO ELECTRICISTA,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
12,27010024,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,5.0,3.0,CHIQUMULA_ESQUIPULAS_BASILICAS,Religión y peregrinación,1500.0,6.0,4.0,12,59,LICENCIADO EN FISIOTERAPIA,JUBILIDA,Femenino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,6.0,Por su cuenta,Vehículo,2150.0,SANTA ROSA_CHIQUIMULA_MONTERRICO
13,27010024,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,8.0,3.0,CHIQUMULA_ESQUIPULAS_BASILICAS,Religión y peregrinación,1500.0,6.0,4.0,12,59,LICENCIADO EN FISIOTERAPIA,JUBILIDA,Femenino,Sí,2.0,6.0,Visita a familiares y/o amigos,Airbnb,6.0,Por su cuenta,Vehículo,2100.0,SAN MARCOS_MALACATAN_CENTRO
14,27010024,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,3.0,3.0,CHIQUMULA_ESQUIPULAS_BASILICAS,Religión y peregrinación,1500.0,6.0,4.0,12,59,LICENCIADO EN FISIOTERAPIA,JUBILIDA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
15,27010024,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,63,ANA DE CASA,ANA DE CASA,Femenino,Sí,1.0,11.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,Por su cuenta,Vehículo,2050.0,PUERTO BARRIOS_IZABAL_EL CASTILLO SAN FELIPE
16,27010024,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,63,ANA DE CASA,ANA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
18,27010024,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,23,AMA DE CASA,AMA DE CASA,Femenino,Sí,3.0,6.0,Visita a familiares y/o amigos,Casa de amigos o familiares,6.0,Por su cuenta,Bus regional,3930.0,CHIQUIMULA_ESQUIPULAS_LAS BASILICA
